TRT,Replica,PH1WAT,NL1WAT,LA1WAT,PH2WAT,NL2WAT,LA2WAT,PH3WAT,NL3WAT,LA3WAT,PH4WAT,NL4WAT,LA4WAT,PH5WAT,NL5WAT,LA5WAT,PH6WAT,NL6WAT,LA6WAT,PH7WAT,NL7WAT,LA7WAT,PH8WAT,NL8WAT,LA8WAT,PH9WAT,NL9WAT,LA9WAT,PH10WAT,NL10WAT,LA10WAT
FLD,1,11,9,7.5,18,20,8.5,27,28,20,33,55,22.5,39,38,27,42.5,98,28.8,54,102,26,60,170,26,70,198,28,75,201,28
2DW,1,27,11,14,33,27,16.5,38,28,24,36,28,24,38,55,31.5,42,96,39.6,53,100,41.4,60,115,42.8,68,130,45,76,127,45
4DW,1,11,8,7.5,11,9,7.5,19,18,10,21.5,27,10.5,23.5,22,17.5,24,35,18.5,23,42,17.5,36,86,17.5,45,148,18.2,52,161,21
6DW,1,11,11,8.5,13.5,6,8.5,14,12,9.3,15.5,19,9.9,17,24,6.6,18.5,42,9.8,25,40,10.5,29,22,11.2,30,48,15.8,30,37,17.5
2DW,2,14.5,13,6.8,17.5,15,8,24,31,16.5,25.5,26,12,26,72,19.5,34,79,26,46,106,38.5,51.5,128,41.25,59,140,48,67,180,56
6DW,2,8.5,9,3,9,9,3.6,9.5,5,6,13.5,9,7.5,21.6,38,9,22.5,43,11.2,26,61,15.2,28,66,17.1,31,55,18.5,35,63,20
FLD,2,8,7,3,11,7,3.9,15,10,9,20,30,14,25,81,20,26,109,30,33,120,33,41,235,29.3,47,260,31.5,52,273,31.5
4DW,2,10.5,6,3,15,15,3.8,15.5,20,16,16,27,15,17,72,17.5,20,98,22.5,25,110,20,25,189,22,33,165,22,36,170,24
6DW,3,9.5,9,3,11.5,10,3,14,21,5.4,15.3,24,7.5,16.5,28,9,20,73,9.9,25,90,10.5,33,100,10.5,37.5,125,14.8,40,130,18
FLD,3,10,10,3.9,15,25,4.7,21.5,55,16.5,27.5,85,23.1,40,210,25.2,40,250,29.3,44,165,35,48,205,35,51,220,37,51,210,37.5
2DW,3,12.5,11,7.5,20,22,8,27,32,22,35.5,68,22,50,98,24,53,110,27.5,55.5,138,32.5,55.5,165,35,63,198,36,65,150,37.5
4DW,3,12.5,11,2.4,15,19,2.5,19,18,4.6,25,51,7.5,36,88,7,39,109,10.2,43,101,10.5,47.5,180,12.2,50,210,14,54,230,20
