TRT,Replica,FL1H,FD1H,FW1H,NF1H,FL2H,FD2H,FW2H,NF2H,FL3H,FD3H,FW3H,NF3H
FLD,1,0,0,0,0,7.5,0.8,1.9,51,6.6,0.5,1.55,23
2DW,1,0,0,0,0,6.7,1.2,3.8,4,4.7,0.6,1.93,6
4DW,1,0,0,0,0,0,0,0,0,3.8,0.7,1.55,7
6DW,1,0,0,0,0,0,0,0,0,0,0,0,0
2DW,2,0,0,0,0,3.4,1.7,1.97,20,2.9,1.3,1.53,15
6DW,2,10.4,1.1,6.35,3,8.63,0.85,3.51,2,0,0,0,0
FLD,2,7.7,1.2,3.82,1,6.7,0.8,1.93,19,4.7,0.5,0.67,11
4DW,2,0,0,0,0,0,0,0,0,6.1,1,1.58,17
6DW,3,0,0,0,0,0,0,0,0,4,0.7,1.25,9
FLD,3,16.4,1.8,12.1,8,14.8,1.7,11.26,5,4.1,1.1,5.73,4
2DW,3,13.2,2.5,13.8,10,11.3,1.5,7.25,5,8.6,1.1,4.17,6
4DW,3,0,0,0,0,5.5,1,1.68,7,4.8,0.7,1.55,3
